Year_Month,Date,Close,Log_Return,Company
2000-01,2000-01-01,N/A,N/A,明豊エンタープライズ
2000-02,2000-02-01,N/A,N/A,明豊エンタープライズ
2000-03,2000-03-01,N/A,N/A,明豊エンタープライズ
2000-04,2000-04-01,N/A,N/A,明豊エンタープライズ
2000-05,2000-05-01,N/A,N/A,明豊エンタープライズ
2000-06,2000-06-01,N/A,N/A,明豊エンタープライズ
2000-07,2000-07-01,N/A,N/A,明豊エンタープライズ
2000-08,2000-08-01,N/A,N/A,明豊エンタープライズ
2000-09,2000-09-01,N/A,N/A,明豊エンタープライズ
2000-10,2000-10-01,N/A,N/A,明豊エンタープライズ
2000-11,2000-11-01,N/A,N/A,明豊エンタープライズ
2000-12,2000-12-01,N/A,N/A,明豊エンタープライズ
2001-01,2001-01-01,N/A,N/A,明豊エンタープライズ
2001-02,2001-02-01,N/A,N/A,明豊エンタープライズ
2001-03,2001-03-01,N/A,N/A,明豊エンタープライズ
2001-04,2001-04-01,N/A,N/A,明豊エンタープライズ
2001-05,2001-05-01,N/A,N/A,明豊エンタープライズ
2001-06,2001-06-01,N/A,N/A,明豊エンタープライズ
2001-07,2001-07-01,N/A,N/A,明豊エンタープライズ
2001-08,2001-08-01,N/A,N/A,明豊エンタープライズ
2001-09,2001-09-01,N/A,N/A,明豊エンタープライズ
2001-10,2001-10-01,N/A,N/A,明豊エンタープライズ
2001-11,2001-11-01,N/A,N/A,明豊エンタープライズ
2001-12,2001-12-01,N/A,N/A,明豊エンタープライズ
2002-01,2002-01-01,N/A,N/A,明豊エンタープライズ
2002-02,2002-02-01,N/A,N/A,明豊エンタープライズ
2002-03,2002-03-01,N/A,N/A,明豊エンタープライズ
2002-04,2002-04-01,N/A,N/A,明豊エンタープライズ
2002-05,2002-05-01,N/A,N/A,明豊エンタープライズ
2002-06,2002-06-01,N/A,N/A,明豊エンタープライズ
2002-07,2002-07-01,N/A,N/A,明豊エンタープライズ
2002-08,2002-08-01,N/A,N/A,明豊エンタープライズ
2002-09,2002-09-01,N/A,N/A,明豊エンタープライズ
2002-10,2002-10-01,N/A,N/A,明豊エンタープライズ
2002-11,2002-11-01,N/A,N/A,明豊エンタープライズ
2002-12,2002-12-01,N/A,N/A,明豊エンタープライズ
2003-01,2003-01-01,N/A,N/A,明豊エンタープライズ
2003-02,2003-02-01,N/A,N/A,明豊エンタープライズ
2003-03,2003-03-01,N/A,N/A,明豊エンタープライズ
2003-04,2003-04-01,N/A,N/A,明豊エンタープライズ
2003-05,2003-05-01,N/A,N/A,明豊エンタープライズ
2003-06,2003-06-01,N/A,N/A,明豊エンタープライズ
2003-07,2003-07-01,N/A,N/A,明豊エンタープライズ
2003-08,2003-08-01,N/A,N/A,明豊エンタープライズ
2003-09,2003-09-01,N/A,N/A,明豊エンタープライズ
2003-10,2003-10-01,N/A,N/A,明豊エンタープライズ
2003-11,2003-11-01,N/A,N/A,明豊エンタープライズ
2003-12,2003-12-01,N/A,N/A,明豊エンタープライズ
2004-01,2004-01-01,N/A,N/A,明豊エンタープライズ
2004-02,2004-02-01,N/A,N/A,明豊エンタープライズ
2004-03,2004-03-01,N/A,N/A,明豊エンタープライズ
2004-04,2004-04-01,N/A,N/A,明豊エンタープライズ
2004-05,2004-05-01,N/A,N/A,明豊エンタープライズ
2004-06,2004-06-01,3713.521728515625,N/A,明豊エンタープライズ
2004-07,2004-07-01,2954.84521484375,-0.22853441061022525,明豊エンタープライズ
2004-08,2004-08-01,1936.6214599609375,-0.42250132933241474,明豊エンタープライズ
2004-09,2004-09-01,1645.1298828125,-0.16312560217270386,明豊エンタープライズ
2004-10,2004-10-01,1229.8544921875,-0.2909234738655958,明豊エンタープライズ
2004-11,2004-11-01,1058.154052734375,-0.15036993301611676,明豊エンタープライズ
2004-12,2004-12-01,1030.2027587890625,-0.026770294274012424,明豊エンタープライズ
2005-01,2005-01-01,1114.056396484375,0.07825212937230865,明豊エンタープライズ
2005-02,2005-02-01,1305.7220458984375,0.15874841420727062,明豊エンタープライズ
2005-03,2005-03-01,1293.7427978515625,-0.009216768503312838,明豊エンタープライズ
2005-04,2005-04-01,1165.9656982421875,-0.10398974195961767,明豊エンタープライズ
2005-05,2005-05-01,1461.4501953125,0.22587955802186124,明豊エンタープライズ
2005-06,2005-06-01,1513.35986328125,0.03490302683380092,明豊エンタープライズ
2005-07,2005-07-01,1481.41552734375,-0.021334185958435836,明豊エンタープライズ
2005-08,2005-08-01,1386.38134765625,-0.06630106254358398,明豊エンタープライズ
2005-09,2005-09-01,1341.6593017578125,-0.03278987271776111,明豊エンタープライズ
2005-10,2005-10-01,1213.88232421875,-0.10008337714972705,明豊エンタープライズ
2005-11,2005-11-01,1475.8250732421875,0.19539344942681133,明豊エンタープライズ
2005-12,2005-12-01,1480.6170654296875,0.0032417318920839517,明豊エンタープライズ
2006-01,2006-01-01,1405.5478515625,-0.052031780262949724,明豊エンタープライズ
2006-02,2006-02-01,1449.4713134765625,0.030771721829602427,明豊エンタープライズ
2006-03,2006-03-01,1449.4713134765625,0.0,明豊エンタープライズ
2006-04,2006-04-01,1501.3807373046875,0.0351862977019757,明豊エンタープライズ
2006-05,2006-05-01,1438.2906494140625,-0.04292981678292442,明豊エンタープライズ
2006-06,2006-06-01,1301.7288818359375,-0.09976206944294802,明豊エンタープライズ
2006-07,2006-07-01,1169.958984375,-0.10672459792077339,明豊エンタープライズ
2006-08,2006-08-01,1022.2168579101562,-0.13499503309702232,明豊エンタープライズ
2006-09,2006-09-01,1024.6123046875,0.0023406427021455778,明豊エンタープライズ
2006-10,2006-10-01,1214.6807861328125,0.1701670131003346,明豊エンタープライズ
2006-11,2006-11-01,1337.666259765625,0.09644518361855077,明豊エンタープライズ
2006-12,2006-12-01,1324.090087890625,-0.010201001015937726,明豊エンタープライズ
2007-01,2007-01-01,1277.770751953125,-0.03560853786711207,明豊エンタープライズ
2007-02,2007-02-01,1261.0,-0.013211902563618485,明豊エンタープライズ
2007-03,2007-03-01,1159.5767822265625,-0.08384996134401133,明豊エンタープライズ
2007-04,2007-04-01,1098.08447265625,-0.054487822308225804,明豊エンタープライズ
2007-05,2007-05-01,1122.0426025390625,0.021583503226527793,明豊エンタープライズ
2007-06,2007-06-01,1146.0006103515625,0.021127374328319175,明豊エンタープライズ
2007-07,2007-07-01,1054.1610107421875,-0.08353295081811062,明豊エンタープライズ
2007-08,2007-08-01,1042.181884765625,-0.011428718450925147,明豊エンタープライズ
2007-09,2007-09-01,942.3560791015625,-0.10068855415484737,明豊エンタープライズ
2007-10,2007-10-01,974.3002319335938,0.03333629603913854,明豊エンタープライズ
2007-11,2007-11-01,1014.2305908203125,0.040166062935887425,明豊エンタープライズ
2007-12,2007-12-01,982.286376953125,-0.03200267335369053,明豊エンタープライズ
2008-01,2008-01-01,896.0368041992188,-0.09190140381845238,明豊エンタープライズ
2008-02,2008-02-01,814.5789184570312,-0.09531017299264531,明豊エンタープライズ
2008-03,2008-03-01,798.6068115234375,-0.019802591330512338,明豊エンタープライズ
2008-04,2008-04-01,670.8296508789062,-0.17435349268688885,明豊エンタープライズ
2008-05,2008-05-01,639.68408203125,-0.047540798580298305,明豊エンタープライズ
2008-06,2008-06-01,718.7460327148438,0.11653363973905476,明豊エンタープライズ
2008-07,2008-07-01,666.836669921875,-0.07496292914667323,明豊エンタープライズ
2008-08,2008-08-01,353.7828063964844,-0.6338619596611166,明豊エンタープライズ
2008-09,2008-09-01,183.6795654296875,-0.6554904363688494,明豊エンタープライズ
2008-10,2008-10-01,365.7619323730469,0.688789916546043,明豊エンタープライズ
2008-11,2008-11-01,95.03419494628906,-1.3477458901263695,明豊エンタープライズ
2008-12,2008-12-01,79.06206512451172,-0.18400359513299464,明豊エンタープライズ
2009-01,2009-01-01,80.65927124023438,0.020000575940465906,明豊エンタープライズ
2009-02,2009-02-01,72.6732177734375,-0.10426083154281927,明豊エンタープライズ
2009-03,2009-03-01,48.71500778198242,-0.3999857722805367,明豊エンタープライズ
2009-04,2009-04-01,55.902469635009766,0.13762140807994747,明豊エンタープライズ
2009-05,2009-05-01,67.08296203613281,0.18232153404780807,明豊エンタープライズ
2009-06,2009-06-01,91.83978271484375,0.31411547390851036,明豊エンタープライズ
2009-07,2009-07-01,96.63142395019531,0.05085842135280707,明豊エンタープライズ
2009-08,2009-08-01,91.04116821289062,-0.05959218585185613,明豊エンタープライズ
2009-09,2009-09-01,142.95062255859375,0.4511874716785862,明豊エンタープライズ
2009-10,2009-10-01,123.78407287597656,-0.1439605739159671,明豊エンタープライズ
2009-11,2009-11-01,138.15896606445312,0.10986625027827343,明豊エンタープライズ
2009-12,2009-12-01,149.33944702148438,0.07781693258437455,明豊エンタープライズ
2010-01,2010-01-01,147.74224853515625,-0.010752691257954097,明豊エンタープライズ
2010-02,2010-02-01,141.3533935546875,-0.04420609950651571,明豊エンタープライズ
2010-03,2010-03-01,136.56173706054688,-0.03448629348809076,明豊エンタープライズ
2010-04,2010-04-01,136.56173706054688,0.0,明豊エンタープライズ
2010-05,2010-05-01,138.95755004882812,0.017391692623556384,明豊エンタープライズ
2010-06,2010-06-01,131.77012634277344,-0.05310955378628598,明豊エンタープライズ
2010-07,2010-07-01,112.60355377197266,-0.15718566113207927,明豊エンタープライズ
2010-08,2010-08-01,82.25650787353516,-0.31403076663959417,明豊エンタープライズ
2010-09,2010-09-01,193.26284790039062,0.8542086589734978,明豊エンタープライズ
2010-10,2010-10-01,123.78407287597656,-0.44551246864918237,明豊エンタープライズ
2010-11,2010-11-01,101.42304992675781,-0.1992383177657675,明豊エンタープライズ
2010-12,2010-12-01,121.38822174072266,0.17969347150453194,明豊エンタープライズ
2011-01,2011-01-01,103.81887817382812,-0.15634602881221346,明豊エンタープライズ
2011-02,2011-02-01,103.02027893066406,-0.007721973176038347,明豊エンタープライズ
2011-03,2011-03-01,107.8119125366211,0.04546230660240721,明豊エンタープライズ
2011-04,2011-04-01,80.65927124023438,-0.29015440382939967,明豊エンタープライズ
2011-05,2011-05-01,79.86067199707031,-0.00995023815698851,明豊エンタープライズ
