company,order,seasonal_order,lag,aic,bic,arch_lm_pvalue,arch_f_pvalue,ljungbox_p_lag6,ljungbox_p_lag12,diagnostics_passed,refit_order,garch_aic,garch_bic
アーバネットコーポレーション,"(1, 0, 1)","(0, 0, 0, 0)",1,-375.92679315152054,-362.3522829661111,4.404892373096823e-06,8.178557227930813e-07,0.09210574006038134,0.03611462474391994,False,,-438.25782998390116,-424.64712045641204
エスリード,"(1, 0, 1)","(0, 0, 0, 0)",1,-524.791154616742,-510.1952576640972,0.0033212975997574667,0.002524344606477617,0.9984885922379672,0.28640264195105136,False,,-598.9558114212593,-584.33184417798
コスモスイニシア,"(2, 0, 1)","(0, 0, 0, 0)",1,-265.0260942835749,-246.40816877381297,0.00020838526175676387,0.00011997234320107091,0.4028558853231795,0.8277012517107675,False,,-333.977049309564,-319.0566501776697
コーセーアールイー,"(1, 1, 1)","(0, 0, 0, 0)",1,-276.09671265576185,-263.846332523654,0.20275032647865465,0.2030939414812458,0.2574566001914111,0.35582849575132336,True,,-284.1450475227151,-271.81943006277726
ゴールドクレスト,"(2, 0, 1)","(0, 0, 0, 0)",1,-523.1716748951852,-504.75377605849184,0.016458360905906046,0.014461315237500603,0.424979447972783,0.42758598091981315,False,,-540.6491568670044,-525.8877190497082
シーラホールディングス,"(1, 0, 1)","(0, 0, 0, 0)",1,-478.39484187976416,-463.6469404544049,1.1463179102009616e-06,2.742875205658786e-07,0.0005999185113410432,0.001196088550562542,False,,-590.1931889649163,-575.4182604097056
セントラル総合開発,"(1, 0, 1)","(0, 0, 0, 0)",6,-194.24219871674467,-180.70421846558833,4.964851976206169e-05,1.6249651256148303e-05,0.043527621511721515,0.010288674652227136,False,,-280.8260712680372,-267.25156108262775
ディア・ライフ,"(1, 1, 1)","(0, 0, 0, 0)",1,-257.81633545417225,-244.35243139408485,0.013771737716853269,0.011231232045745434,0.05744714697021388,0.07043320534368844,False,,-259.4526794524451,-245.9330900382833
プロパスト,"(1, 0, 1)","(0, 0, 0, 0)",6,67.1907210069549,80.72870125811126,1.4353318995707834e-06,1.9137929948918422e-07,0.4141782358169651,0.09939049737986659,False,,-91.73677590399811,-78.16226571858866
日本エスコン,"(1, 0, 1)","(0, 0, 0, 0)",1,509.6423119451396,524.2522686662143,0.9885893509429683,0.9897069634335758,0.9998440600603187,0.9999995891892595,True,,208.72263234807804,223.36056121111653
日神グループホールディングス,"(2, 0, 1)","(0, 0, 0, 0)",1,-562.594566559721,-544.1766677230275,0.006120138373369125,0.004969775133945082,0.4110531299306106,0.6043659857236543,False,,-598.0518749693636,-583.2904371520673
明和地所,"(2, 0, 2)","(0, 0, 0, 0)",1,-572.1407404611009,-550.0597048069985,0.07175556580386028,0.06898382867203925,0.9058892555326751,0.14888709173235834,True,"(2, 0, 2)",-603.0021360023233,-588.240698185027
明豊エンタープライズ,"(2, 0, 1)","(0, 0, 0, 0)",1,-152.57078822941838,-134.90384078578077,5.906488295903803e-07,8.949542847540628e-08,0.19940186472056415,0.33687484802129275,False,,-216.73725082984032,-202.5721966492066
