company,seasonality_mode,changepoint_prior_scale,seasonality_prior_scale,reg_lag,train_rmse,train_mae,test_rmse,test_mae,n225_coef,params
明豊エンタープライズ,additive,0.05,5.0,1,0.18102490797695808,0.10917463206872823,0.101432710797816,0.08959212042830518,1.1929393040946903,"{'seasonality_mode': 'additive', 'changepoint_prior_scale': 0.05, 'seasonality_prior_scale': 5.0}"
明豊エンタープライズ,additive,0.05,15.0,1,0.17497746300468228,0.11498079356256943,0.1372721111528551,0.11553284249422853,1.096018188841896,"{'seasonality_mode': 'additive', 'changepoint_prior_scale': 0.05, 'seasonality_prior_scale': 15.0}"
明豊エンタープライズ,additive,0.2,5.0,1,0.1745052085293821,0.11151573721802426,0.127311469860304,0.10715707147680224,1.1060565501161985,"{'seasonality_mode': 'additive', 'changepoint_prior_scale': 0.2, 'seasonality_prior_scale': 5.0}"
明豊エンタープライズ,additive,0.2,15.0,1,0.17461698223265246,0.11085302756053168,0.12472877737193917,0.10522761234792401,1.112926872764915,"{'seasonality_mode': 'additive', 'changepoint_prior_scale': 0.2, 'seasonality_prior_scale': 15.0}"
明豊エンタープライズ,multiplicative,0.05,5.0,1,0.1963946258472245,0.11829504954879438,0.11347019946798194,0.08749681123767494,-3.31839527048252,"{'seasonality_mode': 'multiplicative', 'changepoint_prior_scale': 0.05, 'seasonality_prior_scale': 5.0}"
明豊エンタープライズ,multiplicative,0.05,15.0,1,0.19637878128220754,0.11826942366031447,0.11355955104957144,0.08760311201967101,-3.346970146383781,"{'seasonality_mode': 'multiplicative', 'changepoint_prior_scale': 0.05, 'seasonality_prior_scale': 15.0}"
明豊エンタープライズ,multiplicative,0.2,5.0,1,0.18124066858314977,0.10892605010645237,0.11251052739181798,0.08814436234327311,-37.051507184210145,"{'seasonality_mode': 'multiplicative', 'changepoint_prior_scale': 0.2, 'seasonality_prior_scale': 5.0}"
明豊エンタープライズ,multiplicative,0.2,15.0,1,0.1795893677128317,0.10747159326929842,0.11136951750905597,0.08808398270393065,-43.06739587492428,"{'seasonality_mode': 'multiplicative', 'changepoint_prior_scale': 0.2, 'seasonality_prior_scale': 15.0}"
明和地所,additive,0.05,5.0,1,0.08924731473973062,0.06503301313095985,0.0900125398314244,0.05381010311016915,0.9711561161918488,"{'seasonality_mode': 'additive', 'changepoint_prior_scale': 0.05, 'seasonality_prior_scale': 5.0}"
明和地所,additive,0.05,15.0,1,0.08924699912052372,0.06500912298879828,0.08990702146072231,0.053725396132902364,0.969505015499734,"{'seasonality_mode': 'additive', 'changepoint_prior_scale': 0.05, 'seasonality_prior_scale': 15.0}"
明和地所,additive,0.2,5.0,1,0.08855705779569843,0.06472808595416513,0.0941050684323245,0.056355050878547606,0.9899935091431246,"{'seasonality_mode': 'additive', 'changepoint_prior_scale': 0.2, 'seasonality_prior_scale': 5.0}"
明和地所,additive,0.2,15.0,1,0.08856073144516959,0.06461132666379397,0.09329416307993128,0.05558961730072207,0.9872509335758988,"{'seasonality_mode': 'additive', 'changepoint_prior_scale': 0.2, 'seasonality_prior_scale': 15.0}"
明和地所,multiplicative,0.05,5.0,1,0.10454767979191142,0.0753697452738467,0.0721159085938779,0.05129199615626229,0.12022540122854139,"{'seasonality_mode': 'multiplicative', 'changepoint_prior_scale': 0.05, 'seasonality_prior_scale': 5.0}"
明和地所,multiplicative,0.05,15.0,1,0.10454650473797275,0.07535905433059643,0.07199906741329737,0.051175004285088234,0.12027800312261279,"{'seasonality_mode': 'multiplicative', 'changepoint_prior_scale': 0.05, 'seasonality_prior_scale': 15.0}"
明和地所,multiplicative,0.2,5.0,1,0.09012630625447152,0.06532034629164724,0.07822621296863386,0.045713683433278494,-70.71531748110489,"{'seasonality_mode': 'multiplicative', 'changepoint_prior_scale': 0.2, 'seasonality_prior_scale': 5.0}"
明和地所,multiplicative,0.2,15.0,1,0.09017771396168224,0.0654115635605257,0.07768355477057101,0.04558574468404022,-70.01432423575838,"{'seasonality_mode': 'multiplicative', 'changepoint_prior_scale': 0.2, 'seasonality_prior_scale': 15.0}"
ゴールドクレスト,additive,0.05,5.0,1,0.10025370116057358,0.07314845585469264,0.07115366261413546,0.059687744650054,0.8844660123916449,"{'seasonality_mode': 'additive', 'changepoint_prior_scale': 0.05, 'seasonality_prior_scale': 5.0}"
ゴールドクレスト,additive,0.05,15.0,1,0.10025291489178303,0.07315320858194393,0.07116393032719495,0.059703595199811776,0.8821392515240217,"{'seasonality_mode': 'additive', 'changepoint_prior_scale': 0.05, 'seasonality_prior_scale': 15.0}"
ゴールドクレスト,additive,0.2,5.0,1,0.0980745243610683,0.0731985768587391,0.08011730360518857,0.06327052702601242,0.8395178891198947,"{'seasonality_mode': 'additive', 'changepoint_prior_scale': 0.2, 'seasonality_prior_scale': 5.0}"
ゴールドクレスト,additive,0.2,15.0,1,0.09810131984502352,0.0732581159753989,0.08074237987751352,0.06359576966448433,0.8363306264611063,"{'seasonality_mode': 'additive', 'changepoint_prior_scale': 0.2, 'seasonality_prior_scale': 15.0}"
ゴールドクレスト,multiplicative,0.05,5.0,1,0.11202151862394111,0.08409280197083993,0.056021309155487184,0.04454779469996476,0.5346182783953072,"{'seasonality_mode': 'multiplicative', 'changepoint_prior_scale': 0.05, 'seasonality_prior_scale': 5.0}"
ゴールドクレスト,multiplicative,0.05,15.0,1,0.11202151787894336,0.08409280145639872,0.05602131380176934,0.044547798853719574,0.5346196646012296,"{'seasonality_mode': 'multiplicative', 'changepoint_prior_scale': 0.05, 'seasonality_prior_scale': 15.0}"
ゴールドクレスト,multiplicative,0.2,5.0,1,0.09787503872461394,0.07209409967588284,0.056065539862295635,0.04438070286812388,117.1222665263404,"{'seasonality_mode': 'multiplicative', 'changepoint_prior_scale': 0.2, 'seasonality_prior_scale': 5.0}"
ゴールドクレスト,multiplicative,0.2,15.0,1,0.09842323677135334,0.07211610075942913,0.05623568417485438,0.044449207101311804,83.6753429396754,"{'seasonality_mode': 'multiplicative', 'changepoint_prior_scale': 0.2, 'seasonality_prior_scale': 15.0}"
エスリード,additive,0.05,5.0,1,0.09307511216264683,0.06789572823951881,0.06787906808202986,0.05265723974214914,1.0113202125785221,"{'seasonality_mode': 'additive', 'changepoint_prior_scale': 0.05, 'seasonality_prior_scale': 5.0}"
エスリード,additive,0.05,15.0,1,0.09306818873200744,0.06788257249048979,0.06786932345859716,0.05267827735832679,1.0096682346779293,"{'seasonality_mode': 'additive', 'changepoint_prior_scale': 0.05, 'seasonality_prior_scale': 15.0}"
エスリード,additive,0.2,5.0,1,0.09186810505285631,0.06707303937908773,0.07165787060004994,0.05764130227365158,1.003116031243855,"{'seasonality_mode': 'additive', 'changepoint_prior_scale': 0.2, 'seasonality_prior_scale': 5.0}"
