company,order,lag,seasonal_order,cv_rmse,cv_mae,cv_aic,insample_rmse,insample_mae,n225_coef,n225_pvalue,splits,converged
明豊エンタープライズ,"(1, 0, 1)",1,"(0, 0, 0, 0)",0.1765736080277161,0.12309502483943154,-50.74810834726968,0.17704015907286108,0.11421010519627588,0.07434737005838811,3.834632655120238e-21,5,True
明豊エンタープライズ,"(2, 0, 1)",1,"(0, 0, 0, 0)",0.17651615334290946,0.12367319466738029,-46.68969082074015,0.17728090261540833,0.11547232054735158,0.07611899491295412,7.01543203718547e-28,5,True
明和地所,"(1, 0, 1)",1,"(0, 0, 0, 0)",0.0896790548655823,0.06479515716601655,-255.9167816607678,0.09002012563880665,0.06306485095953991,0.04727433876247177,6.303336429703779e-26,5,True
明和地所,"(2, 0, 1)",1,"(0, 0, 0, 0)",0.08994625627337317,0.06500663424096018,-259.1771701203262,0.08916592425056852,0.06437861624125477,0.05154560506271096,1.2009086919628284e-29,5,True
ゴールドクレスト,"(1, 0, 1)",1,"(0, 0, 0, 0)",0.0948545999532093,0.07207726920014614,-222.91430090301213,0.09888298647274708,0.07273113680080852,0.044589178316078885,7.206742621694264e-32,5,True
ゴールドクレスト,"(2, 0, 1)",1,"(0, 0, 0, 0)",0.09484580245553306,0.07215360657592657,-221.70251211806902,0.09879624938237552,0.07263343538258649,0.04547076294562652,1.6243383889426607e-34,5,False
エスリード,"(1, 0, 1)",1,"(0, 0, 0, 0)",0.08618787210775324,0.0662796997814308,-219.43800264935462,0.09453694450342322,0.06852524912717725,0.051091868211335684,1.705684936434754e-18,5,True
エスリード,"(2, 0, 1)",1,"(0, 0, 0, 0)",0.0867146003231101,0.0667558727569176,-217.56918469929897,0.09457510015905758,0.06854505741975901,0.05108929539583272,1.845027385098433e-18,5,False
プロパスト,"(1, 0, 1)",1,"(0, 0, 0, 0)",0.18152401668293697,0.13090258997231025,71.21694211339418,0.2569123625220144,0.15791559083624107,0.10384829723588795,6.777557885353306e-15,5,True
プロパスト,"(2, 0, 1)",1,"(0, 0, 0, 0)",0.1814187734252689,0.13145768140356773,72.57170665452296,0.25642613011779214,0.15840162113259462,0.10542356704761364,1.6507851724418365e-14,5,True
アーバネットコーポレーション,"(1, 0, 1)",1,"(0, 0, 0, 0)",0.08161851196401948,0.06418962392535023,-143.51826496616746,0.10205855352014967,0.0693093287733246,0.05715899621932581,8.658445037448774e-14,5,True
アーバネットコーポレーション,"(2, 0, 1)",1,"(0, 0, 0, 0)",20.83291282444069,9.921684434344922,-114.228925219049,0.10335766901842801,0.07104933799272106,0.06065305687260825,3.898860526964389e-14,5,True
セントラル総合開発,"(1, 0, 1)",1,"(0, 0, 0, 0)",0.11395919221451248,0.08316686667468773,-72.17953557525956,0.14104210161943753,0.0873387995556267,0.057676982315632876,1.3230338825358576e-11,5,True
セントラル総合開発,"(2, 0, 1)",1,"(0, 0, 0, 0)",0.11384030778122375,0.08322553244354888,-68.74346613297061,0.14054112899599971,0.08740623352161521,0.055271479277374996,4.330204075173441e-10,5,True
ディア・ライフ,"(1, 0, 1)",1,"(0, 0, 0, 0)",0.11329070878564385,0.08301791217828085,-98.294073042781,0.15287569726681038,0.09425006733474342,0.06897224842214338,2.030224343635961e-21,5,True
ディア・ライフ,"(2, 0, 1)",1,"(0, 0, 0, 0)",0.1137904416120277,0.08349575992940848,-96.93361287004065,0.15650225591789482,0.09617542464259236,0.0701701259105036,7.859212624418044e-21,5,True
コーセーアールイー,"(1, 0, 1)",1,"(0, 0, 0, 0)",0.09565670568843934,0.06855978133934128,-129.72624660937467,0.09706763330907725,0.06823778868044,0.04329399131651926,1.634171769685311e-06,5,True
コーセーアールイー,"(2, 0, 1)",1,"(0, 0, 0, 0)",0.09567403597363697,0.06863310055279778,-127.80575536167942,0.09706359256060645,0.06822593223842292,0.043292932712729146,1.995840059626498e-06,5,True
コスモスイニシア,"(1, 0, 1)",1,"(0, 0, 0, 0)",0.15733575593055932,0.11204245363374177,-130.1879652457287,0.1545904036006793,0.10159188962843994,0.07347377177683516,1.0862400036475282e-15,5,True
コスモスイニシア,"(2, 0, 1)",1,"(0, 0, 0, 0)",0.15732365566801554,0.11205904077130188,-128.87054871321394,0.15440745823658833,0.10151493064459328,0.07405152601576305,1.005243392967123e-15,5,True
日神グループホールディングス,"(1, 0, 1)",1,"(0, 0, 0, 0)",0.08776211893706994,0.06402546495747156,-242.75179214030769,0.09349687177477435,0.06583877247072147,0.05372779243234442,4.338659277511874e-25,5,True
日神グループホールディングス,"(2, 0, 1)",1,"(0, 0, 0, 0)",0.08709906880321343,0.06389462670397039,-240.68132047456328,0.09351602732125888,0.06596110633752729,0.05358476381585753,5.103905986670193e-25,5,True
シーラホールディングス,"(1, 0, 1)",1,"(0, 0, 0, 0)",0.07927824970366776,0.05891664417483276,-184.20135097070607,0.11073932548444115,0.0749232703735812,0.035753241471775804,8.799663204335153e-11,5,True
シーラホールディングス,"(2, 0, 1)",1,"(0, 0, 0, 0)",4.885003770706469e+53,7.514281385348125e+52,71.74165983017005,0.10988626251078279,0.07462783765925642,0.0355525002272521,2.3125573662038554e-10,5,True
日本エスコン,"(1, 0, 1)",1,"(0, 0, 0, 0)",0.3093657928541349,0.14256579229786265,325.6937131534654,0.5828851757490784,0.1677406112617886,0.06696217063612574,0.11305503761844467,5,True
日本エスコン,"(2, 0, 1)",1,"(0, 0, 0, 0)",0.30972556369077797,0.14306951749406444,327.48117950834376,0.5830977643006134,0.1690471007174131,0.06714832896207859,0.11163908008805985,5,True
