company,seasonality_mode,changepoint_prior_scale,seasonality_prior_scale,reg_lag,train_rmse,train_mae,test_rmse,test_mae,n225_coef,params
明豊エンタープライズ,additive,0.05,5.0,6,0.18191059086205422,0.11983947745760354,0.13800120128877194,0.11112998149288848,0.015103838745791848,"{'seasonality_mode': 'additive', 'changepoint_prior_scale': 0.05, 'seasonality_prior_scale': 5.0}"
明豊エンタープライズ,additive,0.05,15.0,6,0.19292159365176167,0.11801496666970064,0.10150691400458155,0.08080320951172894,0.014617482841537067,"{'seasonality_mode': 'additive', 'changepoint_prior_scale': 0.05, 'seasonality_prior_scale': 15.0}"
明豊エンタープライズ,additive,0.2,5.0,6,0.1819601354344667,0.1192656346835935,0.13506683224218904,0.10830730954113488,0.015257174002434669,"{'seasonality_mode': 'additive', 'changepoint_prior_scale': 0.2, 'seasonality_prior_scale': 5.0}"
明豊エンタープライズ,additive,0.2,15.0,6,0.18176918352718247,0.1203162840794729,0.14035071402297475,0.11214567297747662,0.01525524213130777,"{'seasonality_mode': 'additive', 'changepoint_prior_scale': 0.2, 'seasonality_prior_scale': 15.0}"
明豊エンタープライズ,multiplicative,0.05,5.0,6,0.19823034420452615,0.1174358044148564,0.11246104913125608,0.08654676963475377,-0.003622325330098481,"{'seasonality_mode': 'multiplicative', 'changepoint_prior_scale': 0.05, 'seasonality_prior_scale': 5.0}"
明豊エンタープライズ,multiplicative,0.05,15.0,6,0.1982289397498533,0.11743941498401893,0.11230555175371329,0.0864125056495313,-0.0037003378729999216,"{'seasonality_mode': 'multiplicative', 'changepoint_prior_scale': 0.05, 'seasonality_prior_scale': 15.0}"
明豊エンタープライズ,multiplicative,0.2,5.0,6,0.16398568362091845,0.10865036487381484,0.11912250443841492,0.09055857273411377,-1.7942965162027928,"{'seasonality_mode': 'multiplicative', 'changepoint_prior_scale': 0.2, 'seasonality_prior_scale': 5.0}"
明豊エンタープライズ,multiplicative,0.2,15.0,6,0.1592439870844661,0.10760003289474546,0.1242334532857268,0.09397759116284134,-1.3079556031245347,"{'seasonality_mode': 'multiplicative', 'changepoint_prior_scale': 0.2, 'seasonality_prior_scale': 15.0}"
明和地所,additive,0.05,5.0,6,0.10266616378425916,0.07226018511242836,0.07768401984401874,0.0512642500705553,-0.0031522465406618677,"{'seasonality_mode': 'additive', 'changepoint_prior_scale': 0.05, 'seasonality_prior_scale': 5.0}"
明和地所,additive,0.05,15.0,6,0.10266707501564239,0.07227046957016686,0.07775175861728065,0.05134037863729363,-0.003152372025165835,"{'seasonality_mode': 'additive', 'changepoint_prior_scale': 0.05, 'seasonality_prior_scale': 15.0}"
明和地所,additive,0.2,5.0,6,0.1024380603078778,0.07202264914488943,0.07708558093003744,0.050048042478720876,-0.003076247369994766,"{'seasonality_mode': 'additive', 'changepoint_prior_scale': 0.2, 'seasonality_prior_scale': 5.0}"
明和地所,additive,0.2,15.0,6,0.10195735215993353,0.07171836203202368,0.07707573080738288,0.04874875067791771,-0.0030727849048875567,"{'seasonality_mode': 'additive', 'changepoint_prior_scale': 0.2, 'seasonality_prior_scale': 15.0}"
明和地所,multiplicative,0.05,5.0,6,0.1041875884900282,0.0750151145823007,0.07095211353732815,0.05108312483498697,-0.06510607043838348,"{'seasonality_mode': 'multiplicative', 'changepoint_prior_scale': 0.05, 'seasonality_prior_scale': 5.0}"
明和地所,multiplicative,0.05,15.0,6,0.10418147410827013,0.07499142855179068,0.07080288526065547,0.050931604690805855,-0.06555063284093919,"{'seasonality_mode': 'multiplicative', 'changepoint_prior_scale': 0.05, 'seasonality_prior_scale': 15.0}"
明和地所,multiplicative,0.2,5.0,6,0.09905114945552948,0.07141966841879087,0.06538882650420516,0.044116153741977165,-0.46766285446644545,"{'seasonality_mode': 'multiplicative', 'changepoint_prior_scale': 0.2, 'seasonality_prior_scale': 5.0}"
明和地所,multiplicative,0.2,15.0,6,0.10043770124254717,0.07330416993564716,0.06191072597080986,0.04599419512485851,-0.8063829561359902,"{'seasonality_mode': 'multiplicative', 'changepoint_prior_scale': 0.2, 'seasonality_prior_scale': 15.0}"
ゴールドクレスト,additive,0.05,5.0,6,0.10950639584944723,0.08287121101171739,0.05669279397247894,0.046355582900232,-0.001693416719120356,"{'seasonality_mode': 'additive', 'changepoint_prior_scale': 0.05, 'seasonality_prior_scale': 5.0}"
ゴールドクレスト,additive,0.05,15.0,6,0.10951665446051712,0.08284589018818185,0.05632200388663023,0.04600222931993438,-0.0017083693850100854,"{'seasonality_mode': 'additive', 'changepoint_prior_scale': 0.05, 'seasonality_prior_scale': 15.0}"
ゴールドクレスト,additive,0.2,5.0,6,0.10653350475991749,0.08069113802332821,0.06753456930510972,0.05440182079573097,-0.001215596934755856,"{'seasonality_mode': 'additive', 'changepoint_prior_scale': 0.2, 'seasonality_prior_scale': 5.0}"
ゴールドクレスト,additive,0.2,15.0,6,0.1067233561056532,0.08079898251355948,0.06597518516686894,0.05352487091020638,-0.0011511011675577646,"{'seasonality_mode': 'additive', 'changepoint_prior_scale': 0.2, 'seasonality_prior_scale': 15.0}"
ゴールドクレスト,multiplicative,0.05,5.0,6,0.11163528820339394,0.0833237611803776,0.05340815097164748,0.0430052525941963,-0.012858713702477114,"{'seasonality_mode': 'multiplicative', 'changepoint_prior_scale': 0.05, 'seasonality_prior_scale': 5.0}"
ゴールドクレスト,multiplicative,0.05,15.0,6,0.11161108637238341,0.08331928814771734,0.05365367782702508,0.04301269129493024,-0.01297615168642938,"{'seasonality_mode': 'multiplicative', 'changepoint_prior_scale': 0.05, 'seasonality_prior_scale': 15.0}"
ゴールドクレスト,multiplicative,0.2,5.0,6,0.1092868381626816,0.08200485396610428,0.056391733812613906,0.04484564861814447,-0.06991253398179334,"{'seasonality_mode': 'multiplicative', 'changepoint_prior_scale': 0.2, 'seasonality_prior_scale': 5.0}"
ゴールドクレスト,multiplicative,0.2,15.0,6,0.10900397768040636,0.08190280517030066,0.056431691725477184,0.04379647020840154,-0.15016802691707237,"{'seasonality_mode': 'multiplicative', 'changepoint_prior_scale': 0.2, 'seasonality_prior_scale': 15.0}"
エスリード,additive,0.05,5.0,6,0.10716747479011073,0.07800541290063338,0.05727761744039696,0.04280174093410862,8.593121463351634e-05,"{'seasonality_mode': 'additive', 'changepoint_prior_scale': 0.05, 'seasonality_prior_scale': 5.0}"
エスリード,additive,0.05,15.0,6,0.10713422578042711,0.07797174315320239,0.056725248556554905,0.04260233368359637,3.9339380347432136e-05,"{'seasonality_mode': 'additive', 'changepoint_prior_scale': 0.05, 'seasonality_prior_scale': 15.0}"
エスリード,additive,0.2,5.0,6,0.10438357285859118,0.07609063789449745,0.05455085085979834,0.042663502333511294,-0.0002958037806794394,"{'seasonality_mode': 'additive', 'changepoint_prior_scale': 0.2, 'seasonality_prior_scale': 5.0}"
エスリード,additive,0.2,15.0,6,0.10438404145543785,0.07603749702231077,0.05444624490978639,0.04263868919009763,-0.00031852971151949487,"{'seasonality_mode': 'additive', 'changepoint_prior_scale': 0.2, 'seasonality_prior_scale': 15.0}"
エスリード,multiplicative,0.05,5.0,6,0.10980864252842674,0.07953007908325341,0.05815989326685628,0.04547492129186922,0.0006152352406535214,"{'seasonality_mode': 'multiplicative', 'changepoint_prior_scale': 0.05, 'seasonality_prior_scale': 5.0}"
エスリード,multiplicative,0.05,15.0,6,0.10980035516375104,0.07951527720653205,0.05792575562789365,0.045238686716916686,0.0006462968483293368,"{'seasonality_mode': 'multiplicative', 'changepoint_prior_scale': 0.05, 'seasonality_prior_scale': 15.0}"
エスリード,multiplicative,0.2,5.0,6,0.10512965168957994,0.07584224490174982,0.062383577174763186,0.04794398612234763,0.14720231357387767,"{'seasonality_mode': 'multiplicative', 'changepoint_prior_scale': 0.2, 'seasonality_prior_scale': 5.0}"
エスリード,multiplicative,0.2,15.0,6,0.10468963732759476,0.07513498037686323,0.062102793470218444,0.04821578622121142,-0.14478849257823106,"{'seasonality_mode': 'multiplicative', 'changepoint_prior_scale': 0.2, 'seasonality_prior_scale': 15.0}"
プロパスト,additive,0.05,5.0,6,0.2832366362425717,0.17709488708875976,0.07757889704219918,0.061165936863672825,-0.013471781047931954,"{'seasonality_mode': 'additive', 'changepoint_prior_scale': 0.05, 'seasonality_prior_scale': 5.0}"
プロパスト,additive,0.05,15.0,6,0.2829638956309635,0.17664920998222777,0.07674265349246595,0.060269705931921776,-0.013286634425966403,"{'seasonality_mode': 'additive', 'changepoint_prior_scale': 0.05, 'seasonality_prior_scale': 15.0}"
プロパスト,additive,0.2,5.0,6,0.273734832585765,0.17916942431738994,0.10200787793294404,0.0843877433276754,-0.00874422537531977,"{'seasonality_mode': 'additive', 'changepoint_prior_scale': 0.2, 'seasonality_prior_scale': 5.0}"
プロパスト,additive,0.2,15.0,6,0.27367196165790664,0.17932837267182303,0.10240358217724789,0.08467386493089284,-0.009105211253698143,"{'seasonality_mode': 'additive', 'changepoint_prior_scale': 0.2, 'seasonality_prior_scale': 15.0}"
プロパスト,multiplicative,0.05,5.0,6,0.2914364941832988,0.17174460110406822,0.08918858308726874,0.06400377808826681,0.0026225323558554093,"{'seasonality_mode': 'multiplicative', 'changepoint_prior_scale': 0.05, 'seasonality_prior_scale': 5.0}"
プロパスト,multiplicative,0.05,15.0,6,0.29143607943287614,0.17174610204398466,0.08920344262070634,0.06401760587851162,0.0026265162156131746,"{'seasonality_mode': 'multiplicative', 'changepoint_prior_scale': 0.05, 'seasonality_prior_scale': 15.0}"
プロパスト,multiplicative,0.2,5.0,6,0.21481411448985638,0.1452002315728357,0.09023117001243665,0.06506735026978304,0.20843018620895243,"{'seasonality_mode': 'multiplicative', 'changepoint_prior_scale': 0.2, 'seasonality_prior_scale': 5.0}"
プロパスト,multiplicative,0.2,15.0,6,0.21569626856131174,0.1459254880851573,0.0899741935840903,0.0647941355546993,0.3794236841988432,"{'seasonality_mode': 'multiplicative', 'changepoint_prior_scale': 0.2, 'seasonality_prior_scale': 15.0}"
アーバネットコーポレーション,additive,0.05,5.0,6,0.11853866503072792,0.07636378960620131,0.06229946033623539,0.049314616674552926,0.004316624522570903,"{'seasonality_mode': 'additive', 'changepoint_prior_scale': 0.05, 'seasonality_prior_scale': 5.0}"
アーバネットコーポレーション,additive,0.05,15.0,6,0.11839704928828788,0.0766640709518685,0.06327438102170192,0.05150533709750229,0.003816196260125482,"{'seasonality_mode': 'additive', 'changepoint_prior_scale': 0.05, 'seasonality_prior_scale': 15.0}"
アーバネットコーポレーション,additive,0.2,5.0,6,0.1120854937787387,0.07435885472405594,0.07941864822540937,0.06324115135262892,-0.00045271077611898646,"{'seasonality_mode': 'additive', 'changepoint_prior_scale': 0.2, 'seasonality_prior_scale': 5.0}"
アーバネットコーポレーション,additive,0.2,15.0,6,0.11273038470382991,0.07380951688333133,0.07472442718291522,0.05764769796913168,0.00033368096255996656,"{'seasonality_mode': 'additive', 'changepoint_prior_scale': 0.2, 'seasonality_prior_scale': 15.0}"
アーバネットコーポレーション,multiplicative,0.05,5.0,6,0.12330799973578216,0.07512452683535095,0.05036079798540385,0.03801431739539537,0.06547920034861711,"{'seasonality_mode': 'multiplicative', 'changepoint_prior_scale': 0.05, 'seasonality_prior_scale': 5.0}"
アーバネットコーポレーション,multiplicative,0.05,15.0,6,0.12333585057736571,0.07509481237442865,0.05032249358871207,0.03646183079590893,0.06427237390644333,"{'seasonality_mode': 'multiplicative', 'changepoint_prior_scale': 0.05, 'seasonality_prior_scale': 15.0}"
アーバネットコーポレーション,multiplicative,0.2,5.0,6,0.10243995234048948,0.06866063080791386,0.051646870862372456,0.037844354030052096,-0.0020626210326991578,"{'seasonality_mode': 'multiplicative', 'changepoint_prior_scale': 0.2, 'seasonality_prior_scale': 5.0}"
アーバネットコーポレーション,multiplicative,0.2,15.0,6,0.10233973592936561,0.06853329305901883,0.05215810813280621,0.038744036910117394,-0.03975027137611014,"{'seasonality_mode': 'multiplicative', 'changepoint_prior_scale': 0.2, 'seasonality_prior_scale': 15.0}"
セントラル総合開発,additive,0.05,5.0,6,0.15778841097913238,0.09748771246614309,0.06925322057432552,0.05751866631740327,-0.016324944952382556,"{'seasonality_mode': 'additive', 'changepoint_prior_scale': 0.05, 'seasonality_prior_scale': 5.0}"
セントラル総合開発,additive,0.05,15.0,6,0.15778816631375095,0.09748601311548953,0.06929874378990629,0.05756536371744866,-0.016328117606288703,"{'seasonality_mode': 'additive', 'changepoint_prior_scale': 0.05, 'seasonality_prior_scale': 15.0}"
セントラル総合開発,additive,0.2,5.0,6,0.15457271682719573,0.09731933305534075,0.07224968852635157,0.05978066912955312,-0.020451268507020004,"{'seasonality_mode': 'additive', 'changepoint_prior_scale': 0.2, 'seasonality_prior_scale': 5.0}"
セントラル総合開発,additive,0.2,15.0,6,0.15468856557716093,0.09714981052349025,0.07101591053530648,0.05854546839965887,-0.01994573097003631,"{'seasonality_mode': 'additive', 'changepoint_prior_scale': 0.2, 'seasonality_prior_scale': 15.0}"
