fold,rmse,mae,aic,lag
1,0.36208282433759964,0.22676214853400134,-78.87346022845978,0
2,0.17521179695240763,0.12237396975261709,18.449494853969565,0
3,0.1505182813291645,0.10527967306784043,-2.5806570639018496,0
4,0.12875363717958244,0.0936950589993264,-29.056481218899684,0
5,0.09503444180756111,0.07002128916554055,-67.42882984902141,0
1,0.35434615948792497,0.22078607087088964,-76.20055033478911,1
2,0.16009218198890834,0.11682282812057286,3.737957991077563,1
3,0.16970514226114605,0.11923420506375776,-26.02350517284964,1
4,0.10152885838254155,0.08151350271057631,-48.72171552362259,1
5,0.09490904782930315,0.0775428330367737,-95.88457303261555,1
1,0.3614529941228814,0.2325526778224922,-79.67558056978787,3
2,0.18355726314272724,0.1331619748349048,17.52223793375811,3
3,0.15302155860871694,0.10677951560086661,-0.8767922970371522,3
4,0.12699869313658146,0.09438650188757572,-27.262895598850818,3
5,0.09283193615039347,0.0699234765055468,-65.13420116918367,3
1,0.3589715533606204,0.2300272864186732,-43.46674077375965,6
2,0.15790055159111313,0.11474112108006188,20.422246880173557,6
3,0.16036316256132618,0.10963033391639679,-2.793215267861834,6
4,0.12879886940291146,0.09467682574510668,-26.811590583693622,6
5,0.09645605274230865,0.07212984237652406,-63.70990075795768,6
